# ThriveSpace Synthetic Wellness & Burnout Prototype Dataset
# NOTICE: This dataset is synthetic and is used only to demonstrate the machine-learning pipeline.
# Model results must not be interpreted as clinical or diagnostic evidence.
# Target: 0 = Low Risk, 1 = Moderate Risk, 2 = Elevated Risk
sleep_hours,work_study_hours,stress_level,physical_activity_minutes,mood_rating,journal_sentiment,negative_emotion_frequency,synthetic_risk_index,risk_class
4.3,9.3,7,11.0,3,0.105,0.34,61.2,1
5.7,7.7,4,12.0,4,0.127,0.173,34.4,1
7.4,6.3,5,26.0,3,-0.091,0.343,37.8,1
7.5,6.2,5,45.0,4,0.226,0.103,26.6,0
3.6,11.8,9,7.0,1,-0.429,0.738,86.6,2
6.3,8.0,5,11.0,4,0.117,0.259,34.3,1
5.0,5.6,5,39.0,3,0.442,0.377,39.5,1
7.0,8.8,5,19.0,4,0.22,0.118,36.7,1
7.4,10.2,8,33.0,3,-0.173,0.344,48.1,1
6.5,6.7,3,26.0,4,0.23,0.0,25.1,0
7.7,8.9,6,36.0,4,0.102,0.176,34.1,1
4.4,9.2,9,0.0,1,-0.702,0.871,82.5,2
8.3,5.6,2,57.0,3,0.159,0.0,17.7,0
6.4,8.8,7,51.0,4,0.256,0.294,34.4,1
9.3,3.5,4,55.0,4,0.417,0.0,18.3,0
6.4,9.2,6,18.0,2,-0.662,0.518,56.4,1
5.0,13.1,10,19.0,1,-0.624,0.883,85.7,2
4.2,11.5,9,17.0,2,-0.266,0.747,73.4,2
7.5,6.8,2,42.0,5,0.315,0.0,11.1,0
8.3,10.7,8,16.0,3,0.253,0.456,44.6,1
8.4,7.3,4,23.0,4,0.268,0.044,25.5,0
5.5,10.0,7,21.0,4,0.428,0.153,41.7,1
4.2,12.1,7,15.0,3,-0.264,0.447,68.0,2
6.8,3.4,3,41.0,4,0.207,0.0,16.1,0
8.2,7.9,1,26.0,5,0.846,0.0,11.6,0
7.6,8.5,3,52.0,5,0.781,0.0,12.9,0
8.2,4.8,2,53.0,5,0.448,0.0,2.0,0
3.9,13.0,9,6.0,2,0.133,0.59,78.1,2
8.5,7.7,3,40.0,4,0.03,0.0,23.5,0
6.7,6.1,2,46.0,5,0.522,0.0,14.7,0
4.5,9.5,8,14.0,2,-0.127,0.462,67.0,2
5.0,8.6,8,24.0,2,-0.271,0.523,60.9,1
6.8,7.3,5,23.0,4,0.316,0.253,32.9,0
5.3,11.6,7,18.0,1,-0.281,0.656,74.4,2
5.1,11.5,8,8.0,2,-0.129,0.688,71.1,2
7.1,9.6,3,52.0,4,-0.138,0.031,25.6,0
6.8,4.7,4,0.0,2,0.11,0.235,38.3,1
7.4,8.3,5,72.0,2,-0.503,0.238,42.9,1
5.3,15.0,10,13.0,2,-0.572,0.712,78.3,2
4.2,6.8,6,36.0,4,0.359,0.176,42.9,1
7.0,6.9,5,46.0,5,0.375,0.0,24.2,0
4.6,10.4,4,27.0,4,0.501,0.053,40.3,1
8.8,7.4,6,48.0,4,0.802,0.123,22.4,0
5.4,9.2,6,8.0,2,-0.427,0.432,58.7,1
6.5,7.2,5,54.0,3,-0.106,0.143,36.5,1
5.3,6.1,6,27.0,3,-0.087,0.322,44.7,1
7.8,8.0,4,25.0,2,-0.337,0.277,42.1,1
9.4,6.1,3,42.0,4,0.49,0.0,17.7,0
8.9,5.5,2,52.0,5,0.317,0.0,8.4,0
5.7,4.8,4,29.0,4,0.486,0.178,30.5,0
7.4,8.1,6,21.0,3,0.174,0.351,42.4,1
4.4,8.1,9,0.0,1,-0.561,0.626,78.3,2
7.8,6.0,5,2.0,4,0.253,0.143,29.7,0
9.0,7.4,5,41.0,5,0.779,0.003,16.0,0
6.2,6.9,4,20.0,4,0.276,0.086,32.3,0
4.1,11.2,10,35.0,2,-0.249,0.693,78.9,2
5.1,14.2,10,4.0,2,-0.254,0.832,77.9,2
3.4,9.6,10,0.0,1,-0.681,0.704,88.0,2
6.6,8.2,5,1.0,2,-0.351,0.23,50.3,1
4.8,11.3,5,20.0,1,-0.567,0.434,60.3,1
9.0,7.3,1,39.0,3,-0.025,0.0,15.2,0
8.8,5.3,2,40.0,4,0.013,0.0,14.3,0
